OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value,Binar_OP130_Resultat_Global_v
153.5,153.87,165.1,111.47,12.1,12.25,0.41,11.97,6.41,24.86,18.1,103.98,6.4,1
157.8,154.41,160.0,112.82,11.9,12.33,,11.98,6.62,24.32,13.2,90.52,6.61,1
169.1,146.63,168.7,109.16,11.85,12.33,0.31,11.97,6.6,24.24,11.4,101.09,6.61,1
158.4,144.41,144.4,110.56,11.87,12.28,0.38,11.97,6.61,24.64,15.2,97.22,6.61,1
173.3,162.19,161.7,111.25,11.9,12.17,,11.97,6.62,24.24,23.5,89.35,6.61,1
147.5,147.74,138.2,115.01,12.11,12.3,0.38,11.97,6.42,18.26,16.5,80.25,6.4,1
166.8,155.46,149.8,113.15,12.11,12.38,0.41,11.97,6.41,23.27,9.7,95.72,6.41,1
140.8,142.78,163.7,118.39,12.12,12.29,0.39,11.97,6.4,19.06,15.5,83.94,6.44,1
150.0,147.99,144.4,116.17,12.11,12.26,0.38,11.97,6.41,19.17,19.1,88.41,6.4,1
169.3,163.13,158.4,113.92,11.82,12.28,0.36,11.97,6.6,25.97,14.2,100.15,6.64,1
150.6,143.84,164.9,116.93,11.72,12.3,,11.97,6.62,23.16,11.1,102.47,6.6,1
150.2,144.5,139.3,109.58,12.14,12.33,0.38,11.97,6.41,17.48,13.1,81.7,6.41,1
164.9,155.92,153.6,111.77,11.91,12.28,,11.98,6.63,23.36,11.6,97.71,6.61,1
170.9,171.61,158.3,116.5,12.05,12.25,,11.97,6.62,23.4,24.1,95.37,6.61,1
197.6,128.95,157.6,114.63,11.71,12.3,,11.97,6.62,26.07,10.6,101.52,6.63,1
165.9,159.76,153.9,113.72,11.8,12.27,0.4,11.97,6.61,26.59,36.0,102.03,6.63,1
156.7,150.46,153.2,110.83,11.9,12.21,,11.97,6.62,22.47,17.0,90.92,6.61,1
180.1,141.11,152.5,110.68,11.83,12.26,0.38,11.97,6.61,24.53,11.9,101.11,6.6,1
161.1,146.74,136.4,113.48,12.1,12.34,0.41,11.97,6.41,20.99,9.5,97.43,6.4,1
155.4,148.57,152.2,115.55,11.76,12.36,,11.97,6.63,25.95,14.2,98.21,6.62,1
158.9,155.37,169.4,112.66,12.11,12.23,0.39,11.97,6.41,18.66,15.4,88.89,6.41,1
156.4,169.04,168.6,108.74,11.87,12.27,,11.98,6.6,24.82,12.0,95.88,6.6,1
167.0,167.05,196.5,113.68,12.08,12.23,,11.97,6.62,22.87,19.8,104.78,6.61,1
156.5,152.86,169.7,114.85,12.13,12.29,0.39,11.97,6.41,21.25,13.3,85.41,6.41,1
160.1,146.95,157.5,112.63,11.83,12.26,0.37,11.97,6.63,23.12,12.8,105.93,6.61,1
196.8,131.71,176.8,110.09,11.72,12.33,,11.97,6.6,21.56,13.8,93.38,6.61,1
184.4,148.85,154.2,111.56,12.11,12.2,,11.98,6.62,25.39,24.9,100.02,6.6,1
142.6,157.3,161.3,114.31,12.1,12.33,0.37,11.97,6.4,18.42,24.2,83.62,6.42,1
142.9,156.4,150.2,116.34,12.08,12.28,0.39,11.97,6.4,22.3,14.5,88.43,6.42,1
139.0,169.15,179.0,115.19,12.07,12.31,,11.97,6.61,21.32,19.7,95.74,6.61,1
144.3,164.36,165.0,110.07,12.12,12.23,0.37,11.97,6.44,20.83,17.1,104.57,6.41,1
132.4,139.97,150.0,110.8,12.11,12.36,0.41,11.97,6.4,20.27,10.0,98.52,6.41,1
168.5,148.29,183.9,116.83,11.86,12.24,,11.97,6.6,26.37,11.3,103.38,6.6,1
138.7,161.25,156.5,108.35,11.89,12.3,,11.97,6.61,24.58,14.8,90.84,6.61,1
148.6,145.43,152.2,115.24,11.91,12.2,,11.97,6.62,20.82,13.1,91.9,6.62,1
145.0,158.8,168.7,114.25,11.7,12.3,,11.97,6.62,23.28,13.8,99.66,6.61,1
149.0,142.11,146.4,113.68,11.91,12.25,,11.97,6.6,21.21,20.5,89.75,6.62,1
154.3,162.11,181.4,110.91,12.09,12.32,0.41,11.97,6.41,23.98,16.1,105.13,6.4,1
148.8,172.83,152.5,113.52,11.89,12.28,,11.97,6.62,25.9,14.4,102.73,6.61,1
179.5,140.59,156.5,111.45,12.08,12.28,0.38,11.97,6.4,21.6,15.7,99.91,6.43,1
153.9,166.37,170.9,116.36,11.89,12.37,,11.97,6.62,25.07,11.1,101.03,6.61,1
165.5,174.58,141.7,114.57,12.04,12.28,,11.97,6.62,22.39,11.9,99.64,6.61,1
153.7,166.69,164.0,110.01,11.89,12.2,,11.98,6.62,25.37,16.7,100.14,6.61,1
153.8,163.9,164.4,112.89,11.9,12.13,,11.97,6.6,25.0,26.0,91.7,6.6,1
147.3,158.08,143.7,117.67,11.82,12.25,0.39,11.97,6.61,24.08,17.4,106.12,6.61,1
141.4,162.11,156.5,112.92,11.82,12.21,0.37,11.97,6.61,25.17,18.0,105.92,6.61,1
165.5,147.83,154.8,113.53,12.03,12.23,0.4,11.97,6.41,24.94,13.0,101.29,6.41,1
147.1,155.0,147.1,117.18,11.88,12.33,,11.97,6.61,25.19,10.7,94.56,6.61,1
147.8,153.16,146.8,109.94,12.12,12.28,0.4,11.97,6.42,18.64,18.7,79.64,6.4,1
189.9,143.9,154.9,109.85,11.7,12.22,,11.97,6.62,20.55,14.0,96.93,6.61,1
147.0,153.02,166.7,113.6,12.12,12.2,0.4,11.97,6.41,24.44,16.7,102.05,6.4,1
175.6,162.71,165.5,113.64,11.83,12.2,,11.97,6.6,26.45,14.0,95.59,6.6,1
180.0,165.26,175.7,115.82,11.75,12.34,,11.97,6.61,25.64,18.3,100.49,6.6,1
153.7,134.25,167.1,117.55,12.07,12.29,0.4,11.97,6.41,21.34,14.9,100.45,6.42,1
139.6,152.71,161.3,117.12,12.13,12.37,0.38,11.97,6.41,19.96,12.3,94.9,6.41,1
164.8,159.46,163.6,110.51,11.9,12.27,,11.97,6.62,24.0,10.4,89.24,6.64,1
159.5,149.54,150.8,112.04,11.9,12.18,,11.97,6.6,24.48,17.4,95.19,6.62,1
118.7,148.37,159.4,115.43,11.84,12.21,,11.97,6.61,26.24,17.3,106.16,6.61,1
174.1,158.65,159.2,117.36,12.09,12.24,0.39,11.97,6.41,25.39,19.7,102.9,6.41,1
149.1,153.87,152.6,115.78,12.04,12.28,0.41,11.97,6.42,20.0,13.8,96.71,6.4,1
153.9,161.34,154.8,106.45,11.84,12.23,0.4,11.97,6.6,25.7,25.4,98.87,6.62,1
183.9,167.29,179.6,113.76,12.06,12.17,,11.97,6.62,23.16,17.2,102.58,6.6,1
150.6,150.43,178.7,117.92,12.05,12.23,0.38,11.97,6.41,23.34,13.5,99.49,6.41,1
156.6,147.31,159.7,120.91,12.11,12.24,0.38,11.97,6.41,18.79,16.1,88.45,6.42,1
150.4,158.25,147.4,113.09,11.82,12.23,0.38,11.97,6.6,25.4,27.9,100.46,6.61,1
164.9,154.95,180.2,110.11,12.03,12.34,0.41,11.97,6.41,25.2,15.8,105.62,6.41,1
195.3,158.37,179.4,111.02,11.82,12.09,0.35,11.98,6.61,25.69,38.1,108.36,6.64,1
157.5,176.33,160.8,117.45,12.06,12.25,,11.98,6.62,23.33,21.6,103.28,6.6,1
193.2,143.91,147.2,113.43,11.8,12.4,0.38,11.97,6.6,24.45,23.2,96.01,6.63,1
182.9,155.24,142.6,113.29,12.08,12.18,,11.97,6.62,23.06,26.1,100.15,6.61,1
197.8,140.21,184.1,114.91,11.85,12.24,,11.97,6.49,25.88,16.0,100.5,6.61,1
150.6,152.9,165.5,113.18,12.12,12.3,0.4,11.97,6.41,21.31,13.9,95.53,6.41,1
149.3,169.99,177.0,111.72,12.07,12.17,,11.97,6.62,21.07,17.0,104.45,6.61,1
158.8,161.61,163.9,114.85,12.12,12.22,0.39,11.97,6.41,19.71,16.9,104.89,6.41,1
165.4,177.48,156.2,118.21,11.88,12.32,,11.97,6.62,22.41,11.7,96.19,6.61,1
147.0,140.25,154.6,111.84,12.12,12.23,0.4,11.97,6.41,17.59,20.2,80.54,6.4,1
175.0,144.48,149.0,113.53,12.06,12.25,0.41,11.97,6.41,21.04,19.2,93.42,6.41,1
160.6,146.94,194.2,116.79,12.04,12.2,0.41,11.97,6.4,22.34,12.7,93.54,6.4,1
168.4,138.16,156.1,117.59,12.13,12.33,0.36,11.97,6.41,22.77,15.6,91.38,6.41,1
197.0,182.37,137.1,116.02,12.05,12.21,,11.97,6.62,27.33,16.9,103.62,6.66,1
146.4,146.53,154.9,115.52,12.12,12.36,0.38,11.97,6.4,19.12,11.6,81.95,6.43,1
